id,city,country,latitude,longitude,fqdn,ipv6,measurement_id
6237,Ede,Netherlands (Kingdom of the),52.0305,5.6185,nl-ede-as12859.anchors.atlas.ripe.net,2001:7b8:3:37:213:136:12:209,6943122
6267,Veendam,Netherlands (Kingdom of the),53.1105,6.8805,nl-vdm-as49784.anchors.atlas.ripe.net,2a04:3640::6,7931632
6342,Apeldoorn,Netherlands (Kingdom of the),52.2485,5.9995,nl-ape-as203993.anchors.atlas.ripe.net,2a00:8642:1000:f000::70,11583531
6374,Capelle aan den IJssel,Netherlands (Kingdom of the),51.9095,4.5505,nl-cpi-as43350.anchors.atlas.ripe.net,2a00:1768:2000:2:1::1,15254156
6511,Harderwijk,Netherlands (Kingdom of the),52.3575,5.6375,nl-hrd-as34612.anchors.atlas.ripe.net,2a03:5380:0:1962:e0ea:1a80:c8c9:ddd9,19926321
6514,Rotterdam,Netherlands (Kingdom of the),51.9195,4.4675,nl-rtm-as24586.anchors.atlas.ripe.net,2001:4c10::2:59:0:61,19952711
6567,Arnhem,Netherlands (Kingdom of the),51.9805,5.9705,nl-arn-as1140.anchors.atlas.ripe.net,2a00:d78:0:712:94:198:159:9,22058420
6630,Enschede,Netherlands (Kingdom of the),52.2175,6.8585,nl-ens-as42093.anchors.atlas.ripe.net,2a00:1938:1::a031,23080938
6632,The Hague,Netherlands (Kingdom of the),52.1085,4.3285,nl-hag-as1103-client.anchors.atlas.ripe.net,2001:610:b08:b0::11,23103493
6655,Haarlem,Netherlands (Kingdom of the),52.3895,4.6595,nl-haa-as60781-client.anchors.atlas.ripe.net,2a01:b2e0:2::48,23190018
6862,Zuidbroek,Netherlands (Kingdom of the),53.1685,6.8605,nl-zbo-as208751.anchors.atlas.ripe.net,2a06:e881:6700:5::10,27206568
6863,Dronten,Netherlands (Kingdom of the),52.5385,5.7005,nl-dro-as12414.anchors.atlas.ripe.net,2001:9e0:417:1::2,27211639
6877,Steenbergen,Netherlands (Kingdom of the),51.5905,4.3105,nl-ste-as208725.anchors.atlas.ripe.net,2a0e:f780::6,27708734
7231,Utrecht,Netherlands (Kingdom of the),52.0875,5.0085,nl-utc-as200232.anchors.atlas.ripe.net,2a13:6ec0:e001:82:71::,54618418
6268,Zürich,Switzerland,47.3915,8.5205,ch-zrh-as34288.anchors.atlas.ripe.net,2001:4b20:ca1f::8,7934268
6390,Glattbrugg,Switzerland,47.4275,8.5615,ch-gtg-as20612.anchors.atlas.ripe.net,2001:67c:20ac::190,15766248
6445,Dübendorf,Switzerland,47.3995,8.6195,ch-drf-as61174.anchors.atlas.ripe.net,2a00:a680:100:11::157,18358289
6490,Neuchâtel,Switzerland,46.9975,6.9515,ch-qnc-as559.anchors.atlas.ripe.net,2001:620:410:ffad::2,19215554
6520,Lausanne,Switzerland,46.5175,6.6385,ch-lau-as198385.anchors.atlas.ripe.net,2a03:2041:3:10::10,20355363
6523,Münchenstein,Switzerland,47.5085,7.6185,ch-mus-as206291.anchors.atlas.ripe.net,2a0b:b780:1::100,20389539
6540,Basel,Switzerland,47.5575,7.5895,ch-bsl-as206484.anchors.atlas.ripe.net,2a03:b940:161:11::1,20937762
6618,Gais,Switzerland,47.3615,9.4475,ch-sgg-as8758-client.anchors.atlas.ripe.net,2a04:f340:c0:f100::6e,23024626
6780,Winterthur,Switzerland,47.4975,8.7215,ch-win-as34927.anchors.atlas.ripe.net,2a0c:9a40:1050::29,25163326
6847,Geneve,Switzerland,46.2005,6.1395,ch-gva-as62371.anchors.atlas.ripe.net,2a05:2701:f00::ec,26835785
7073,Stabio,Switzerland,45.8485,8.9505,ch-sbo-as202032.anchors.atlas.ripe.net,2a02:4460:1:1::15,38998055
7149,Reichenburg,Switzerland,47.1715,8.9795,ch-rbg-as3303.anchors.atlas.ripe.net,2001:918:cafe::78,46831278
7258,Richterswil,Switzerland,47.2115,8.7095,ch-ric-as207143-client.anchors.atlas.ripe.net,2001:1680:101:83a::28,59626357
