id,city,country,latitude,longitude,fqdn,ipv4,measurement_id
7236,Drobeta-Turnu Severin,Romania,44.6405,22.6585,ro-dts-as44024.anchors.atlas.ripe.net,185.225.207.9,55630481
6335,Moscow,Russian Federation,55.7595,37.6185,ru-mow-as47764.anchors.atlas.ripe.net,95.163.252.10,11105151
6526,Ivanovo,Russian Federation,56.9905,40.9885,ru-ivo-as29114.anchors.atlas.ripe.net,195.209.139.36,20447878
6623,Saint-Petersburg,Russian Federation,59.8785,30.4285,ru-led-as44050.anchors.atlas.ripe.net,188.143.128.12,23055781
7066,Yaroslavl,Russian Federation,57.6405,39.8805,ru-iar-as49558.anchors.atlas.ripe.net,91.213.39.29,38212866
6326,Kyiv,Ukraine,50.3805,30.4685,ua-iev-as13032.anchors.atlas.ripe.net,91.202.128.78,10562390
6414,Mykolayiv,Ukraine,46.9795,31.9875,ua-nlv-as41018.anchors.atlas.ripe.net,185.126.112.18,17332734
6478,Zaporizhzhia,Ukraine,47.7815,35.1905,ua-zap-as34605.anchors.atlas.ripe.net,178.218.68.22,18958054
6619,Donetsk,Ukraine,48.0015,37.8375,ua-dok-as12773.anchors.atlas.ripe.net,185.28.108.163,23040074
6829,Dnepropetrovsk,Ukraine,48.4715,35.0585,ua-dnk-as3326.anchors.atlas.ripe.net,77.88.216.1,26382913
6852,Kremenchuk,Ukraine,49.0685,33.4095,ua-kre-as41009.anchors.atlas.ripe.net,195.189.60.149,26976420
6876,Chervonograd,Ukraine,49.9705,23.1505,ua-cvg-as50012.anchors.atlas.ripe.net,193.104.85.3,27707906
6930,Odesa,Ukraine,46.4775,30.7285,ua-ods-as42905.anchors.atlas.ripe.net,141.105.133.30,29089931
7123,Lugansk,Ukraine,48.5685,39.3085,ua-vsg-as41709.anchors.atlas.ripe.net,94.158.46.146,43169710
6225,Aalborg,Denmark,57.0195,9.8985,dk-aal-as9158.anchors.atlas.ripe.net,77.214.52.102,6721691
6340,Ballerup,Denmark,55.7275,12.3795,dk-blp-as62113.anchors.atlas.ripe.net,185.38.27.194,11518641
6426,Copenhagen,Denmark,55.7305,12.3785,dk-cph-as59795.anchors.atlas.ripe.net,213.184.86.101,17661127
6448,Skanderborg,Denmark,56.0715,9.9795,dk-skg-as48854.anchors.atlas.ripe.net,185.221.36.2,18392130
6545,Kolding,Denmark,55.5095,9.5095,dk-kol-as39642.anchors.atlas.ripe.net,212.10.11.213,21317877
6714,Tastrup,Denmark,55.6595,12.2975,dk-taa-as51468.anchors.atlas.ripe.net,46.30.208.71,23788671
6952,Højbjerg,Denmark,56.1085,10.1595,dk-hjb-as3292.anchors.atlas.ripe.net,217.28.166.213,29338212
6722,Tallinn,Estonia,59.4285,24.6785,ee-tll-as51349.anchors.atlas.ripe.net,195.43.87.140,23857334
6248,Helsinki,Finland,60.2015,24.9295,fi-hel-as6667.anchors.atlas.ripe.net,213.192.184.42,7382328
6251,Tampere,Finland,61.4875,23.7595,fi-tmp-as719.anchors.atlas.ripe.net,193.65.45.86,7714918
6658,Oulu,Finland,65.0115,25.4695,fi-oul-as20904.anchors.atlas.ripe.net,93.174.194.183,23209510
6734,Tuusula,Finland,60.3395,25.0285,fi-tuu-as24940-client.anchors.atlas.ripe.net,95.217.19.69,23913349
6740,Reykjavík,Iceland,64.1475,-21.9105,is-rey-as1850.anchors.atlas.ripe.net,185.93.159.17,23964313
6965,Dublin,Ireland,53.3295,-6.3695,ie-dub-as1213.anchors.atlas.ripe.net,193.1.201.140,29539105
7210,Cork,Ireland,51.8975,-8.5125,ie-ork-as42953.anchors.atlas.ripe.net,185.6.39.132,53141125
6198,Riga,Latvia,56.9515,24.1115,lv-rix-as52048.anchors.atlas.ripe.net,46.183.219.225,3917119
6245,Vilnius,Lithuania,54.6995,25.2595,lt-vno-as21412.anchors.atlas.ripe.net,5.20.2.255,6976173
6324,Siauliai,Lithuania,55.9195,23.2885,lt-sqq-as25406.anchors.atlas.ripe.net,62.80.227.146,10522189
6269,Oslo,Norway,59.9415,10.8305,no-osl-as57963.anchors.atlas.ripe.net,77.234.51.79,7969760
6864,Stjørdal,Norway,63.4595,10.9805,no-stj-as49271.anchors.atlas.ripe.net,217.168.87.54,27216504
7171,Førde,Norway,61.4475,5.8505,no-fde-as35132.anchors.atlas.ripe.net,62.50.171.162,48876254
7173,Bodø,Norway,67.2785,14.4605,no-boo-as29695-client.anchors.atlas.ripe.net,77.110.218.255,49130788
6049,Stockholm,Sweden,59.3315,18.0595,se-sto-as8674.anchors.atlas.ripe.net,185.42.136.158,1589863
6350,Malmö,Sweden,55.5975,13.0395,se-mma-as39351.anchors.atlas.ripe.net,193.138.218.50,11700665
6441,Lund,Sweden,55.6875,13.2095,se-lud-as60396.anchors.atlas.ripe.net,91.209.0.21,18188358
6536,Boden,Sweden,65.8105,21.6785,se-bod-as200675.anchors.atlas.ripe.net,185.71.177.180,20840382
7084,Linköping,Sweden,58.3895,15.5815,se-lpi-as1257-client.anchors.atlas.ripe.net,31.15.54.138,39875572
7130,Grillby,Sweden,59.6275,17.2485,se-gr5-as210422.anchors.atlas.ripe.net,194.68.41.27,44180441
6087,Slough,United Kingdom of Great Britain and Northern Ireland,51.5205,-0.6185,uk-slo-as43996.anchors.atlas.ripe.net,5.57.16.65,1790208
