,Cities,Latency,GeodesicDistance,GCD,GCDPredic,GeodesicPredic,Error Percent
100,"('6428', '6379')",9.53284,0.3456262431112267,234.7730763591093,4.74464258315025,9.53260943604902,0.0024186281420889417
101,"('6428', '6388')",27.069232,0.14533602507066726,377.34257090530366,7.625898412704552,4.008467503842442,85.19179449257207
102,"('6428', '6389')",21.111406,0.4935720380174626,723.4691925988388,14.620938618835769,13.613056186422378,35.51800298652596
103,"('6428', '6418')",27.986955,0.4816388645742511,794.8869688709437,16.06425498095652,13.283931057662524,52.53527560371422
104,"('6428', '6428')",0.084135,0.0,0.0,0.0,0.0,100.0
105,"('6428', '6557')",21.972755,0.21494204897127966,589.7284362754075,11.918107027600575,5.928249503808516,73.01999906789788
106,"('6428', '6574')",9.13414,0.14533602507066726,448.7766699088455,9.069544648794881,4.008467503842442,56.11554559222388
107,"('6428', '6613')",26.848297,1.0695785766277237,1626.278697756425,32.86625230246884,29.49971258078387,9.87554473486297
108,"('6101', '6066')",50.279365,1.6756397663732725,2548.3634075859272,51.50110791443368,46.21529691889877,8.082974160674516
109,"('6101', '6080')",34.17426,0.7891642092424047,941.8788129124588,19.034884209106906,21.76569151664616,36.309691807090594
110,"('6101', '6101')",0.10957599999999999,0.0,0.0,0.0,0.0,100.0
111,"('6101', '6208')",30.94484,0.3028123984401501,432.83384174036695,8.747348328002513,8.351774161414793,73.01076961000672
112,"('6101', '6222')",73.487152,2.6472163878934505,3690.006750446269,74.57313007007387,73.0120481921155,0.6465127508064189
113,"('6101', '6257')",30.297041,1.2159382996370047,1662.9319141607693,33.60699486996609,33.536414377663355,10.69204539698565
114,"('6101', '6274')",39.539391,1.3235548358110012,1787.4232226470606,36.12289989892548,36.504552441985666,7.675481289062685
115,"('6101', '6280')",46.603459,1.6541750491336575,2309.980275970884,46.683507979612365,45.62328525838771,2.103221011153465
116,"('6101', '6287')",52.188561,1.7004325973837988,2120.5300905975714,42.85481760826412,46.89910024560755,10.135287605252136
117,"('6101', '6373')",29.123183,1.2159382996370047,1682.39837176498,34.000401921253136,33.536414377663355,15.153671141177647
118,"('6101', '6379')",53.578937,1.9204819445354864,3028.2674182334404,61.19972003833804,52.96821254498684,1.1398592230621567
119,"('6101', '6388')",59.151817,2.3325172518918045,2929.583710449141,59.205373286667275,64.33242963548767,8.758163143978601
120,"('6101', '6389')",47.662979,1.8733743273894736,2698.142108242002,54.52805807499945,51.66895207311534,8.404789539309624
121,"('6101', '6418')",69.17792,1.7205189462940902,2407.964631021681,48.66372117384342,47.453095559836036,31.404275295013157
122,"('6101', '6428')",55.572002,2.1767673119379967,3145.246220602902,63.563801199838444,60.03673919860744,8.034148560290207
123,"('6101', '6557')",56.909294,2.4068015882537974,3058.8882789634777,61.81855181413425,66.3812427099251,16.643939933475718
124,"('6101', '6574')",60.116309,2.3325172518918045,3434.7829001571254,69.4151879112159,64.33242963548767,7.013272613738927
125,"('6101', '6613')",46.616460000000004,1.2777807041874467,1668.8367131078487,33.72632780610907,35.24207041772218,24.399942814786495
126,"('6066', '6066')",0.116074,0.0,0.0,0.0,0.0,100.0
